,Store,Department,RMSE,Accuracy
985,13,14,3651.99,0.8565
986,13,16,22430.48,0.2919
987,13,17,1490.08,0.9049
988,13,18,error,error
989,13,19,965.36,0.7151
990,13,20,1473.69,0.8332
991,13,21,error,error
992,13,22,2050.32,0.8649
993,13,23,3512.24,0.8862
994,13,24,3634.02,0.6542
995,13,25,4186.4,0.7369
996,13,26,1820.42,0.8514
997,13,27,524.9,0.7911
998,13,28,269.59,0.7647
999,13,29,1182.68,0.7972
1000,13,30,612.23,0.8702
1001,13,31,1796.32,0.594
1002,13,32,1677.89,0.8439
1003,13,33,3084.95,0.7112
1004,13,34,5764.25,0.7396
1005,13,35,error,error
1006,13,36,54735.79,-31.2624
1007,13,37,448.02,0.8651
1008,13,38,7333.9,0.9178
1009,13,40,3161.82,0.9603
1010,13,41,22965.75,-8.9363
1011,13,42,1082.43,0.8733
1012,13,44,845.12,0.9108
1013,13,45,error,error
1014,13,46,1992.67,0.9541
1015,13,47,error,error
1016,13,48,error,error
1017,13,49,1710.94,0.8064
1018,13,51,error,error
1019,13,52,638.36,0.8318
1020,13,54,error,error
1021,13,55,2351.48,0.8183
1022,13,56,11100.85,-0.1555
1023,13,58,4050.3,0.5237
1024,13,59,159.7,0.5923
1025,13,60,213.93,0.7569
1026,13,67,5101.87,0.6957
1027,13,71,1655.48,0.8182
1028,13,72,7881.83,0.8805
1029,13,74,2131.08,0.9292
1030,13,77,error,error
1031,13,78,error,error
1032,13,79,4601.2,0.9142
1033,13,80,1090.46,0.9458
1034,13,81,1700.29,0.9526
1035,13,82,3033.78,0.907
1036,13,83,917.68,0.808
1037,13,85,683.01,0.8392
1038,13,87,3675.29,0.7945
1039,13,90,7183.82,0.9407
1040,13,91,3846.78,0.9538
1041,13,92,8466.08,0.9511
1042,13,93,3426.13,0.9369
1043,13,94,12409.63,0.8504
1044,13,95,6545.36,0.9563
1045,13,96,1458.5,0.8555
1046,13,97,1830.63,0.9385
1047,13,98,1527.22,0.8946
1048,13,99,error,error
1049,13,39,error,error
1050,13,50,551.64,0.7375
1051,13,43,error,error
1052,13,65,error,error
1053,14,1,45670.27,-0.6267
1054,14,2,9208.66,0.8678
1055,14,3,7737.11,0.6019
1056,14,4,16645.91,0.6479
1057,14,5,12194.32,0.4457
1058,14,6,1396.5,0.6568
1059,14,7,error,error
1060,14,8,11342.32,0.765
1061,14,9,5495.59,0.7579
1062,14,10,3768.29,0.7946
1063,14,11,6553.47,0.6506
1064,14,12,2891.52,0.4466
1065,14,13,14923.82,0.7226
1066,14,14,5441.03,0.7344
1067,14,16,11674.68,0.6518
1068,14,17,2376.77,0.8758
1069,14,18,error,error
1070,14,19,error,error
1071,14,20,3182.25,0.6893
1072,14,21,1676.55,0.7747
1073,14,22,3101.78,0.7967
1074,14,23,11425.18,0.6543
1075,14,24,3199.07,0.6192
1076,14,25,8891.66,0.3209
1077,14,26,3349.7,0.6789
1078,14,27,610.73,0.695
1079,14,28,230.98,0.7582
1080,14,29,2409.31,0.6907
1081,14,30,740.06,0.8741
1082,14,31,3363.5,0.0244
1083,14,32,4166.04,0.578
1084,14,33,1756.17,0.794
1085,14,34,9131.22,0.6375
1086,14,35,1382.85,0.6498
1087,14,36,1497.53,0.6057
1088,14,37,error,error
1089,14,38,16136.19,0.8217
1090,14,40,22662.97,0.6745
1091,14,41,1030.18,0.7117
1092,14,42,3855.93,0.4788
1093,14,44,1338.9,0.7114
1094,14,45,error,error
1095,14,46,7763.29,0.7497
1096,14,47,error,error
1097,14,48,error,error
1098,14,49,2654.68,0.7694
1099,14,51,error,error
1100,14,52,516.68,0.7665
1101,14,54,error,error
1102,14,55,6731.7,0.2942
1103,14,56,26404.38,-3.1236
1104,14,58,5843.77,0.4522
1105,14,59,114.42,0.6041
1106,14,60,126.54,0.6312
1107,14,67,5962.21,0.5574
1108,14,71,4233.1,0.4883
1109,14,72,45416.81,0.3436
1110,14,74,3808.72,0.8215
1111,14,77,error,error
1112,14,78,error,error
1113,14,79,5495.66,0.8394
1114,14,80,3517.07,0.8897
1115,14,81,6640.92,0.8089
1116,14,82,8415.55,0.63
1117,14,83,1233.4,0.8665
1118,14,85,460.74,0.7602
1119,14,87,2767.41,0.8428
1120,14,90,15829.72,0.8313
1121,14,91,18095.28,0.7685
1122,14,92,36370.32,0.7761
1123,14,93,7836.72,0.8556
1124,14,94,10749.08,0.8073
1125,14,95,23696.24,0.8116
1126,14,96,error,error
1127,14,97,4247.61,0.8087
1128,14,98,3882.91,0.7472
1129,14,99,error,error
1130,14,39,error,error
1131,14,50,556.19,0.7171
1132,14,43,error,error
1133,14,65,error,error
1134,15,1,6235.92,0.5098
1135,15,2,3437.26,0.8634
1136,15,3,1690.62,0.8491
1137,15,4,1151.84,0.9131
1138,15,5,4810.33,0.5742
1139,15,6,1451.76,0.4552
1140,15,7,3586.64,0.802
1141,15,8,1052.63,0.9484
1142,15,9,2571.18,0.8643
1143,15,10,4755.38,0.5914
1144,15,11,6873.87,0.5712
1145,15,12,770.63,0.8117
1146,15,13,1103.1,0.9407
1147,15,14,1840.07,0.8312
1148,15,16,27043.63,-0.3853
1149,15,17,1163.06,0.8835
1150,15,18,error,error
1151,15,19,272.9,0.7482
1152,15,20,471.86,0.894
1153,15,21,452.93,0.8446
1154,15,22,1096.56,0.8611
1155,15,23,5862.57,0.7142
1156,15,24,927.71,0.7965
1157,15,25,4317.62,0.4872
1158,15,26,1483.94,0.6642
1159,15,27,279.55,0.7852
1160,15,28,79.29,0.8559
1161,15,29,error,error
1162,15,30,661.47,0.7964
1163,15,31,694.64,0.6635
1164,15,32,2070.76,0.5307
1165,15,33,1130.98,0.7314
1166,15,34,3633.92,0.7225
1167,15,35,748.21,0.6839
1168,15,36,2820.88,-1.3266
1169,15,37,error,error
1170,15,38,7053.72,0.8618
1171,15,40,1914.38,0.9371
1172,15,41,39509.05,-28.4899
1173,15,42,830.39,0.7838
1174,15,44,608.81,0.8115
1175,15,45,error,error
1176,15,46,1176.2,0.9015
1177,15,47,error,error
1178,15,48,error,error
1179,15,49,2576.2,0.7378
1180,15,51,error,error
1181,15,52,405.77,0.7101
1182,15,54,error,error
1183,15,55,1271.24,0.682
1184,15,56,error,error
1185,15,58,error,error
1186,15,59,49.92,0.5278
1187,15,60,error,error
1188,15,67,1745.44,0.6948
1189,15,71,error,error
1190,15,72,7376.46,0.7538
1191,15,74,1242.29,0.9083
1192,15,77,error,error
1193,15,78,error,error
1194,15,79,1114.82,0.861
1195,15,80,error,error
1196,15,81,445.49,0.8939
1197,15,82,5328.37,0.4627
1198,15,83,154.09,0.3672
1199,15,85,521.37,0.8185
1200,15,87,1131.37,0.8879
1201,15,90,352.06,0.9306
1202,15,91,274.09,0.9181
1203,15,92,1152.73,0.9381
1204,15,93,114.67,0.7102
1205,15,94,error,error
1206,15,95,3360.8,0.8809
1207,15,96,688.2,0.826
1208,15,97,408.19,0.7847
1209,15,98,error,error
1210,15,99,error,error
1211,15,39,error,error
1212,15,50,964.1,0.5844
1213,15,43,error,error
1214,15,65,error,error
1215,16,1,2353.67,0.7504
1216,16,2,1476.82,0.9346
1217,16,3,1529.17,0.781
1218,16,4,835.67,0.9421
1219,16,5,4872.95,0.5292
1220,16,6,2141.06,0.4833
1221,16,7,error,error
1222,16,8,1567.39,0.8845
1223,16,9,13451.34,0.6435
1224,16,10,857.1,0.9288
1225,16,11,2519.41,0.7937
1226,16,12,858.49,0.8185
1227,16,13,1083.89,0.9272
1228,16,14,error,error
1229,16,16,86477.83,-5.0408
1230,16,17,1147.13,0.838
1231,16,18,error,error
1232,16,19,561.21,0.5834
1233,16,20,737.18,0.7894
1234,16,21,623.37,0.8094
1235,16,22,1014.33,0.8367
1236,16,23,1353.06,0.8831
1237,16,24,426.48,0.7883
1238,16,25,851.08,0.8338
1239,16,26,343.56,0.8058
1240,16,27,158.68,0.7986
1241,16,28,280.14,-0.4711
1242,16,29,288.37,0.7947
1243,16,30,603.92,0.5881
1244,16,31,226.87,0.7408
1245,16,32,710.55,0.8301
1246,16,33,580.6,0.7327
1247,16,34,947.07,0.83
1248,16,35,110.01,0.3937
1249,16,36,663.84,0.4719
1250,16,37,error,error
1251,16,38,15247.01,0.685
1252,16,40,4361.43,0.8521
1253,16,41,1694.63,-0.431
1254,16,42,731.97,0.8261
1255,16,44,1947.59,0.5032
1256,16,45,error,error
1257,16,46,1163.73,0.9128
1258,16,47,error,error
1259,16,48,error,error
1260,16,49,error,error
1261,16,51,error,error
1262,16,52,402.48,0.7079
1263,16,54,error,error
1264,16,55,1967.34,0.5622
1265,16,56,error,error
1266,16,58,error,error
1267,16,59,error,error
1268,16,60,error,error
1269,16,67,1225.57,0.6616
1270,16,71,821.64,0.6479
1271,16,72,4318.55,0.8367
1272,16,74,error,error
1273,16,77,error,error
1274,16,78,error,error
1275,16,79,586.44,0.8854
1276,16,80,error,error
1277,16,81,3403.35,0.1395
1278,16,82,855.43,0.9036
1279,16,83,error,error
1280,16,85,467.32,0.7669
1281,16,87,1551.44,0.8619
1282,16,90,2069.63,0.7493
1283,16,91,18275.14,-2.0233
1284,16,92,7824.97,0.6678
1285,16,93,error,error
1286,16,94,error,error
1287,16,95,2785.46,0.9125
1288,16,96,97.06,0.3617
1289,16,97,341.03,0.8759
1290,16,98,error,error
1291,16,99,error,error
1292,16,39,error,error
1293,16,50,error,error
1294,16,43,error,error
1295,16,65,error,error
1296,17,1,13137.96,0.4339
1297,17,2,2083.89,0.9528
1298,17,3,error,error
1299,17,4,2154.85,0.9189
1300,17,5,8176.92,0.6337
1301,17,6,1569.89,0.6823
1302,17,7,3158.86,0.8397
1303,17,8,1539.51,0.9244
1304,17,9,4219.63,0.8773
1305,17,10,1232.63,0.9191
1306,17,11,3284.98,0.7899
1307,17,12,error,error
1308,17,13,1710.77,0.9352
1309,17,14,1893.03,0.8701
1310,17,16,6307.72,0.646
1311,17,17,2129.77,0.7781
1312,17,18,error,error
1313,17,19,3136.42,0.2468
1314,17,20,1905.86,0.6016
1315,17,21,1176.32,0.6883
1316,17,22,1482.43,0.8052
1317,17,23,1786.43,0.8768
1318,17,24,1093.95,0.7811
1319,17,25,1676.26,0.7113
1320,17,26,1743.1,0.7742
1321,17,27,205.0,0.8543
1322,17,28,169.53,0.825
1323,17,29,406.87,0.8246
1324,17,30,1116.34,0.574
1325,17,31,1551.83,0.0319
1326,17,32,1043.06,0.8319
1327,17,33,1198.9,0.7682
1328,17,34,2691.05,0.7931
1329,17,35,642.13,0.543
1330,17,36,10087.61,-7.5112
1331,17,37,error,error
1332,17,38,7892.76,0.9089
1333,17,40,3115.39,0.9377
1334,17,41,error,error
1335,17,42,1084.21,0.7529
1336,17,44,681.16,0.9018
1337,17,45,error,error
1338,17,46,error,error
1339,17,47,error,error
1340,17,48,error,error
1341,17,49,error,error
1342,17,51,error,error
1343,17,52,319.65,0.8964
1344,17,54,error,error
1345,17,55,1366.32,0.8176
1346,17,56,error,error
1347,17,58,error,error
1348,17,59,118.01,0.7138
1349,17,60,138.87,0.636
1350,17,67,2290.57,0.7158
1351,17,71,1466.77,0.5701
1352,17,72,7317.79,0.8506
1353,17,74,1615.34,0.9013
1354,17,77,error,error
1355,17,78,error,error
1356,17,79,1925.8,0.931
1357,17,80,300.91,0.6834
1358,17,81,1922.48,0.8712
1359,17,82,error,error
1360,17,83,155.58,0.7062
1361,17,85,606.35,0.8322
1362,17,87,2357.64,0.8535
1363,17,90,2477.47,0.9298
1364,17,91,1006.46,0.9279
1365,17,92,3932.11,0.9361
1366,17,93,1339.29,0.6854
1367,17,94,error,error
1368,17,95,4268.95,0.9265
1369,17,96,error,error
1370,17,97,937.25,0.8984
1371,17,98,error,error
1372,17,99,error,error
1373,17,39,error,error
1374,17,50,error,error
1375,17,43,error,error
1376,17,65,error,error
1377,18,1,11170.66,0.4121
1378,18,2,9849.46,0.8371
1379,18,3,5895.82,0.6612
1380,18,4,error,error
1381,18,5,error,error
1382,18,6,1744.48,0.5402
1383,18,7,19215.18,0.2929
1384,18,8,3567.22,0.8791
1385,18,9,8158.52,0.5554
1386,18,10,1847.73,0.8797
1387,18,11,error,error
1388,18,12,746.11,0.7967
1389,18,13,3217.46,0.9213
1390,18,14,2851.67,0.847
1391,18,16,10223.51,0.4984
1392,18,17,2127.6,0.8265
1393,18,18,error,error
1394,18,19,1573.97,0.2109
1395,18,20,1265.06,0.8315
1396,18,21,772.53,0.8166
1397,18,22,1375.92,0.9054
1398,18,23,3400.99,0.906
1399,18,24,3557.01,0.5607
1400,18,25,1834.56,0.8888
1401,18,26,3643.78,0.6006
1402,18,27,339.91,0.8522
1403,18,28,267.1,0.7475
1404,18,29,1043.52,0.9008
1405,18,30,1060.34,0.8283
1406,18,31,850.37,0.6499
1407,18,32,1669.18,0.7741
1408,18,33,3261.13,0.5984
1409,18,34,5163.1,0.768
1410,18,35,969.99,0.7812
1411,18,36,1274.53,0.4891
1412,18,37,error,error
1413,18,38,7461.09,0.8775
1414,18,40,11708.23,0.7999
1415,18,41,12254.73,-20.4571
1416,18,42,1591.72,0.7759
1417,18,44,601.7,0.8663
1418,18,45,error,error
1419,18,46,2600.99,0.8876
1420,18,47,error,error
1421,18,48,error,error
1422,18,49,2968.48,0.7123
1423,18,51,error,error
1424,18,52,647.6,0.7064
1425,18,54,error,error
1426,18,55,1473.77,0.7677
1427,18,56,9709.42,-0.4411
1428,18,58,2471.48,0.3858
1429,18,59,error,error
1430,18,60,error,error
1431,18,67,2027.01,0.6762
1432,18,71,2986.58,0.5566
1433,18,72,10815.76,0.7531
1434,18,74,error,error
1435,18,77,error,error
1436,18,78,error,error
1437,18,79,2397.76,0.8912
1438,18,80,error,error
1439,18,81,2158.58,0.8444
1440,18,82,3083.15,0.7845
1441,18,83,error,error
1442,18,85,479.11,0.7345
1443,18,87,2126.52,0.8909
1444,18,90,47770.62,-0.9056
1445,18,91,97282.42,-2.9643
1446,18,92,error,error
1447,18,93,error,error
1448,18,94,error,error
1449,18,95,error,error
1450,18,96,error,error
1451,18,97,error,error
1452,18,98,error,error
1453,18,99,error,error
1454,18,39,error,error
1455,18,50,error,error
1456,18,43,error,error
1457,18,65,error,error
1458,19,1,14366.93,0.2965
1459,19,2,3346.62,0.9325
1460,19,3,3110.25,0.8441
1461,19,4,2832.98,0.9093
1462,19,5,error,error
1463,19,6,1236.02,0.7136
1464,19,7,6776.12,0.776
1465,19,8,2874.64,0.9325
1466,19,9,19256.49,0.4968
1467,19,10,6838.75,0.76
1468,19,11,13489.57,0.4027
1469,19,12,629.88,0.9083
1470,19,13,1889.85,0.9428
1471,19,14,1281.57,0.9235
1472,19,16,47102.58,-0.2441
1473,19,17,1273.48,0.9173
1474,19,18,error,error
1475,19,19,error,error
1476,19,20,655.69,0.9016
1477,19,21,911.31,0.8667
1478,19,22,1473.56,0.8726
1479,19,23,3206.19,0.8864
1480,19,24,1351.57,0.762
1481,19,25,2178.05,0.8251
1482,19,26,3215.06,0.5848
1483,19,27,1042.73,0.454
1484,19,28,99.95,0.8562
1485,19,29,1174.1,0.7871
1486,19,30,634.81,0.857
1487,19,31,538.99,0.8105
1488,19,32,1559.73,0.7692
1489,19,33,887.13,0.8516
1490,19,34,4422.26,0.7652
1491,19,35,848.37,0.7893
1492,19,36,5243.86,-2.0019
1493,19,37,357.58,0.8627
1494,19,38,5760.03,0.9201
1495,19,40,4811.19,0.9103
1496,19,41,1332.38,0.5744
1497,19,42,1330.95,0.808
1498,19,44,645.48,0.8793
1499,19,45,error,error
1500,19,46,1292.31,0.9358
1501,19,47,error,error
1502,19,48,error,error
1503,19,49,1511.54,0.727
1504,19,51,error,error
1505,19,52,569.02,0.6292
1506,19,54,error,error
1507,19,55,2690.46,0.6784
1508,19,56,7975.8,-0.0818
1509,19,58,3290.63,0.1444
1510,19,59,196.3,0.2005
1511,19,60,132.7,0.7276
1512,19,67,4435.23,0.6778
1513,19,71,2183.53,0.6141
1514,19,72,7676.14,0.8664
1515,19,74,2082.15,0.8866
1516,19,77,error,error
1517,19,78,error,error
1518,19,79,1533.0,0.922
1519,19,80,1360.49,0.9368
1520,19,81,1139.4,0.9472
1521,19,82,2940.56,0.8632
1522,19,83,323.77,0.9122
1523,19,85,1506.9,0.6566
1524,19,87,1890.39,0.8993
1525,19,90,4625.23,0.9275
1526,19,91,11537.21,0.77
1527,19,92,error,error
1528,19,93,3636.94,0.9017
1529,19,94,3180.82,0.9132
1530,19,95,10167.98,0.8937
1531,19,96,2160.54,0.8768
1532,19,97,2492.99,0.876
1533,19,98,1584.57,0.8667
1534,19,99,error,error
1535,19,39,error,error
1536,19,50,error,error
1537,19,43,error,error
1538,19,65,error,error
1539,20,1,20102.53,0.4593
1540,20,2,error,error
1541,20,3,1879.68,0.882
1542,20,4,error,error
1543,20,5,9408.18,0.6859
1544,20,6,2192.9,0.642
1545,20,7,14160.92,0.6899
1546,20,8,4737.29,0.9413
1547,20,9,error,error
1548,20,10,3280.45,0.926
1549,20,11,8652.58,0.6539
1550,20,12,3175.34,0.6363
1551,20,13,4006.4,0.9295
1552,20,14,error,error
1553,20,16,86960.62,-1.444
1554,20,17,1171.09,0.9294
1555,20,18,error,error
1556,20,19,error,error
1557,20,20,1166.9,0.8345
1558,20,21,1285.51,0.8928
1559,20,22,2174.35,0.8253
1560,20,23,6630.79,0.8241
1561,20,24,3224.04,0.5928
1562,20,25,5470.47,0.6731
1563,20,26,7173.0,0.4184
1564,20,27,443.11,0.7957
1565,20,28,314.49,0.5881
1566,20,29,1933.25,0.7619
1567,20,30,652.49,0.884
1568,20,31,error,error
1569,20,32,2895.77,0.7702
1570,20,33,2337.83,0.7384
1571,20,34,3045.71,0.8711
1572,20,35,1449.27,0.7835
1573,20,36,9458.86,-1.6265
1574,20,37,419.41,0.8961
1575,20,38,10176.23,0.9129
1576,20,40,3986.83,0.9545
1577,20,41,44640023.04,-7904.3556
1578,20,42,1473.3,0.843
1579,20,44,1197.75,0.8498
1580,20,45,error,error
1581,20,46,1820.46,0.9458
1582,20,47,error,error
1583,20,48,error,error
1584,20,49,2537.35,0.8817
1585,20,51,error,error
1586,20,52,1649.56,0.4743
1587,20,54,error,error
1588,20,55,4209.81,0.6533
1589,20,56,9426.51,-0.3482
1590,20,58,error,error
1591,20,59,93.88,0.7992
1592,20,60,153.53,0.7522
1593,20,67,5994.31,0.6637
1594,20,71,1304.02,0.7936
1595,20,72,17456.58,0.7418
1596,20,74,9399.89,0.535
1597,20,77,error,error
1598,20,78,error,error
1599,20,79,4506.59,0.8814
1600,20,80,2853.64,0.9301
1601,20,81,1775.08,0.9507
1602,20,82,4228.54,0.8635
1603,20,83,796.25,0.8573
1604,20,85,510.6,0.8904
1605,20,87,8425.71,0.8348
1606,20,90,6293.74,0.934
1607,20,91,5518.17,0.9292
1608,20,92,12711.05,0.9256
1609,20,93,6245.35,0.8879
1610,20,94,5223.85,0.9211
1611,20,95,error,error
1612,20,96,error,error
1613,20,97,error,error
1614,20,98,1957.08,0.8984
1615,20,99,error,error
1616,20,39,error,error
1617,20,50,639.32,0.7825
1618,20,43,error,error
1619,20,65,error,error
1620,21,1,5121.38,0.5978
1621,21,2,4977.51,0.8947
1622,21,3,6987.83,0.5828
1623,21,4,1323.07,0.927
1624,21,5,3466.64,0.7175
1625,21,6,1368.76,0.4514
1626,21,7,10793.45,0.4185
1627,21,8,1414.34,0.9167
1628,21,9,2383.95,0.865
1629,21,10,2057.42,0.8599
1630,21,11,2640.12,0.7912
1631,21,12,405.86,0.8524
1632,21,13,2076.51,0.9221
1633,21,14,1373.17,0.8925
1634,21,16,error,error
1635,21,17,1550.99,0.7428
1636,21,18,error,error
1637,21,19,713.97,0.584
1638,21,20,795.74,0.8436
1639,21,21,480.56,0.8349
1640,21,22,1308.35,0.813
1641,21,23,4584.07,0.8726
1642,21,24,3710.47,0.5993
1643,21,25,error,error
1644,21,26,3349.28,0.6523
1645,21,27,262.47,0.7987
1646,21,28,106.97,0.776
1647,21,29,531.03,0.8845
1648,21,30,547.43,0.879
1649,21,31,1775.49,0.5228
1650,21,32,2134.45,0.657
1651,21,33,2270.24,0.7178
1652,21,34,4263.95,0.7804
1653,21,35,511.68,0.7894
1654,21,36,411.44,0.7784
1655,21,37,error,error
1656,21,38,8090.09,0.7583
1657,21,40,2650.97,0.9303
1658,21,41,840.57,0.5281
1659,21,42,1329.89,0.753
1660,21,44,570.15,0.8567
1661,21,45,error,error
1662,21,46,1295.97,0.9329
1663,21,47,error,error
1664,21,48,error,error
1665,21,49,2679.03,0.726
1666,21,51,error,error
1667,21,52,874.09,0.62
1668,21,54,error,error
1669,21,55,2556.19,0.5285
1670,21,56,338229.28,-209.4901
1671,21,58,error,error
1672,21,59,122.6,0.4341
1673,21,60,error,error
1674,21,67,1103.18,0.7482
1675,21,71,1184.52,0.7283
1676,21,72,7020.85,0.7751
1677,21,74,1000.73,0.9007
1678,21,77,error,error
1679,21,78,error,error
1680,21,79,error,error
1681,21,80,error,error
1682,21,81,962.52,0.8385
1683,21,82,1498.11,0.8944
1684,21,83,86.71,0.3467
1685,21,85,312.23,0.6924
1686,21,87,1585.24,0.7714
1687,21,90,1099.01,0.8984
1688,21,91,1084.82,0.8419
1689,21,92,3379.76,0.8593
1690,21,93,190.52,0.7224
1691,21,94,error,error
1692,21,95,6650.38,0.8445
1693,21,96,error,error
1694,21,97,433.15,0.8696
1695,21,98,error,error
1696,21,99,error,error
1697,21,39,error,error
1698,21,50,error,error
1699,21,43,error,error
1700,21,65,error,error
1701,22,1,13757.61,0.2625
1702,22,2,3663.47,0.9328
1703,22,3,3089.15,0.7986
1704,22,4,2165.76,0.9368
1705,22,5,7123.88,0.5837
1706,22,6,error,error
1707,22,7,9479.12,0.6076
1708,22,8,2585.22,0.9305
1709,22,9,8613.26,0.6729
1710,22,10,1642.46,0.9121
1711,22,11,8028.0,0.4962
1712,22,12,512.37,0.8651
1713,22,13,2183.13,0.943
1714,22,14,1668.31,0.8918
1715,22,16,4737.75,0.8165
1716,22,17,1355.2,0.8927
1717,22,18,error,error
1718,22,19,error,error
1719,22,20,1183.19,0.8284
1720,22,21,1141.44,0.7727
1721,22,22,2123.89,0.8146
1722,22,23,3687.05,0.8791
1723,22,24,1440.71,0.8272
1724,22,25,1389.17,0.8647
1725,22,26,1381.22,0.8366
1726,22,27,206.74,0.8908
1727,22,28,214.49,0.7123
1728,22,29,1754.6,0.761
1729,22,30,664.8,0.8704
1730,22,31,919.9,0.6853
1731,22,32,2505.75,0.56
1732,22,33,1471.54,0.7961
1733,22,34,4197.77,0.8271
1734,22,35,1259.77,0.7584
1735,22,36,3372.41,-0.3026
1736,22,37,error,error
1737,22,38,11703.33,0.8457
1738,22,40,1899.95,0.9663
1739,22,41,1072.94,0.0773
1740,22,42,840.53,0.8895
1741,22,44,845.56,0.8474
1742,22,45,error,error
1743,22,46,1178.93,0.9477
1744,22,47,error,error
1745,22,48,error,error
1746,22,49,error,error
1747,22,51,error,error
1748,22,52,537.19,0.726
1749,22,54,error,error
1750,22,55,2675.56,0.5821
1751,22,56,error,error
1752,22,58,error,error
1753,22,59,error,error
1754,22,60,127.68,0.6971
1755,22,67,3245.75,0.7253
1756,22,71,740.87,0.8438
1757,22,72,error,error
1758,22,74,1421.11,0.9208
1759,22,77,error,error
1760,22,78,error,error
1761,22,79,4959.51,0.6835
1762,22,80,422.31,0.731
1763,22,81,4298.21,0.6251
1764,22,82,3116.37,0.8297
1765,22,83,640.07,0.5505
1766,22,85,878.79,0.6646
1767,22,87,1926.98,0.8759
1768,22,90,1440.72,0.933
1769,22,91,error,error
1770,22,92,4807.2,0.911
1771,22,93,991.81,0.7034
1772,22,94,error,error
1773,22,95,7710.64,0.8681
1774,22,96,error,error
1775,22,97,531.56,0.8824
1776,22,98,error,error
1777,22,99,error,error
1778,22,39,error,error
1779,22,50,error,error
1780,22,43,error,error
1781,22,65,error,error
1782,23,1,16713.29,0.4837
1783,23,2,4121.38,0.9446
1784,23,3,14032.21,0.3541
1785,23,4,2303.29,0.9231
1786,23,5,9975.75,0.6348
1787,23,6,1783.31,0.6655
1788,23,7,6809.89,0.8173
1789,23,8,3080.68,0.9192
1790,23,9,7034.47,0.8832
1791,23,10,12311.94,0.6179
1792,23,11,13682.55,0.5654
1793,23,12,630.09,0.8963
1794,23,13,error,error
1795,23,14,5779.17,0.829
1796,23,16,7680.91,0.7576
1797,23,17,4354.16,0.831
1798,23,18,error,error
1799,23,19,711.45,0.2419
1800,23,20,1299.95,0.8996
1801,23,21,1142.04,0.868
1802,23,22,3268.44,0.8648
1803,23,23,8407.36,0.831
1804,23,24,1908.11,0.8208
1805,23,25,5171.74,0.671
1806,23,26,1965.72,0.844
1807,23,27,544.47,0.8241
1808,23,28,271.81,0.6901
1809,23,29,1366.7,0.8748
1810,23,30,1085.45,0.8605
1811,23,31,2395.19,0.4756
1812,23,32,2770.11,0.7287
1813,23,33,2237.11,0.7951
1814,23,34,5596.16,0.8076
1815,23,35,1409.59,0.7517
1816,23,36,3047.12,0.2245
1817,23,37,error,error
1818,23,38,7544.81,0.8369
1819,23,40,4906.26,0.9231
1820,23,41,8192.32,-2.7423
1821,23,42,1245.27,0.9037
1822,23,44,979.7,0.8595
1823,23,45,error,error
1824,23,46,2853.14,0.9251
1825,23,47,error,error
1826,23,48,error,error
1827,23,49,3666.4,0.8562
1828,23,51,error,error
1829,23,52,1632.09,0.3216
1830,23,54,429.3,-7.0511
1831,23,55,4801.04,0.4841
1832,23,56,3703.98,0.6929
1833,23,58,error,error
1834,23,59,742.35,-0.705
1835,23,60,error,error
1836,23,67,3785.33,0.7485
1837,23,71,1929.56,0.8388
1838,23,72,error,error
1839,23,74,3570.59,0.9119
1840,23,77,error,error
1841,23,78,error,error
1842,23,79,error,error
1843,23,80,error,error
1844,23,81,1355.13,0.8475
1845,23,82,2675.74,0.8894
1846,23,83,error,error
1847,23,85,error,error
1848,23,87,4047.89,0.8861
1849,23,90,21097.25,0.0809
1850,23,91,20725.55,0.0742
1851,23,92,9444.28,0.8674
1852,23,93,error,error
1853,23,94,error,error
1854,23,95,6454.34,0.8866
1855,23,96,1890.84,0.8825
1856,23,97,6273.0,0.1708
1857,23,98,error,error
1858,23,99,error,error
1859,23,39,error,error
1860,23,50,1559.92,0.7763
1861,23,43,error,error
1862,23,65,error,error
1863,24,1,12098.37,0.3363
1864,24,2,3192.62,0.9234
1865,24,3,1998.11,0.8491
1866,24,4,2372.56,0.9229
1867,24,5,6887.36,0.682
1868,24,6,1750.67,0.5327
1869,24,7,9805.34,0.6252
1870,24,8,2738.76,0.9463
1871,24,9,9664.76,0.671
1872,24,10,3535.71,0.8727
1873,24,11,7928.36,0.5616
1874,24,12,817.22,0.8387
1875,24,13,2149.58,0.9283
1876,24,14,2010.2,0.8751
1877,24,16,67749.0,-1.6438
1878,24,17,1447.35,0.8826
1879,24,18,error,error
1880,24,19,error,error
1881,24,20,700.07,0.8786
1882,24,21,error,error
1883,24,22,3518.38,0.6918
1884,24,23,2685.68,0.9049
1885,24,24,1657.87,0.7063
1886,24,25,1624.22,0.8627
1887,24,26,1450.42,0.8026
1888,24,27,286.65,0.8257
1889,24,28,124.04,0.7766
1890,24,29,708.78,0.864
1891,24,30,429.99,0.891
1892,24,31,1253.87,0.4434
1893,24,32,1361.52,0.7766
1894,24,33,6592.48,-0.1607
1895,24,34,3142.14,0.8213
1896,24,35,1604.05,0.5289
1897,24,36,952.56,0.5727
1898,24,37,353.67,0.8833
1899,24,38,10371.01,0.8221
1900,24,40,6625.56,0.8608
1901,24,41,5653.0,-2.4313
1902,24,42,error,error
1903,24,44,608.34,0.8674
1904,24,45,error,error
1905,24,46,1539.62,0.9072
1906,24,47,error,error
