,Store,Department,RMSE,Accuracy
224,3,81,288.56,0.8462
225,3,82,2612.24,0.6661
226,3,83,error,error
227,3,85,350.39,0.516
228,3,87,3599.27,-1.7633
229,3,90,169.1,0.9043
230,3,91,255.15,0.4832
231,3,92,940.44,0.8964
232,3,93,error,error
233,3,94,error,error
234,3,95,2206.1,0.8896
235,3,96,error,error
236,3,97,error,error
237,3,98,error,error
238,3,99,error,error
239,3,39,error,error
240,3,50,error,error
241,3,43,error,error
242,3,65,error,error
243,4,1,15043.13,0.5723
244,4,2,6111.1,0.9384
245,4,3,4252.62,0.8138
246,4,4,2947.97,0.9501
247,4,5,8590.02,0.7662
248,4,6,error,error
249,4,7,7632.69,0.8453
250,4,8,error,error
251,4,9,5322.95,0.8714
252,4,10,5062.78,0.8758
253,4,11,5852.06,0.7831
254,4,12,983.35,0.8824
255,4,13,3732.86,0.9491
256,4,14,2303.57,0.9164
257,4,16,5423.38,0.8024
258,4,17,2451.39,0.8353
259,4,18,error,error
260,4,19,2169.94,0.0649
261,4,20,950.32,0.9016
262,4,21,1212.68,0.8462
263,4,22,1987.14,0.8876
264,4,23,5757.68,0.8789
265,4,24,2335.35,0.7893
266,4,25,2534.87,0.8434
267,4,26,3507.52,0.8087
268,4,27,2579.08,-0.1608
269,4,28,117.64,0.8328
270,4,29,1097.33,0.8852
271,4,30,1083.81,0.8514
272,4,31,1061.43,0.7335
273,4,32,3768.04,0.6971
274,4,33,1979.42,0.8446
275,4,34,3439.72,0.8779
276,4,35,775.74,0.8256
277,4,36,1287.47,0.704
278,4,37,1015.82,0.7089
279,4,38,error,error
280,4,40,error,error
281,4,41,2576.39,-0.8729
282,4,42,2680.98,0.7389
283,4,44,774.05,0.8518
284,4,45,error,error
285,4,46,3182.85,0.9212
286,4,47,error,error
287,4,48,error,error
288,4,49,1411.84,0.7925
289,4,51,error,error
290,4,52,1367.61,0.5671
291,4,54,error,error
292,4,55,1546.62,0.8879
293,4,56,4151.4,0.4603
294,4,58,2850.59,0.1848
295,4,59,19888.22,-43.4381
296,4,60,113.63,0.6856
297,4,67,3325.02,0.7383
298,4,71,1415.36,0.8158
299,4,72,20952.92,0.7702
300,4,74,3643.63,0.8193
301,4,77,error,error
302,4,78,error,error
303,4,79,3496.61,0.9365
304,4,80,3848.84,0.8144
305,4,81,3707.14,0.8884
306,4,82,4284.6,0.8662
307,4,83,1243.65,0.8744
308,4,85,609.03,0.762
309,4,87,error,error
310,4,90,5759.15,0.9379
311,4,91,5422.98,0.921
312,4,92,7384.08,0.9562
313,4,93,14271.45,0.8094
314,4,94,5763.87,0.9243
315,4,95,12994.2,0.9206
316,4,96,5115.7,0.8855
317,4,97,4328.14,0.8961
318,4,98,1177.19,0.9212
319,4,99,error,error
320,4,39,error,error
321,4,50,error,error
322,4,43,error,error
323,4,65,error,error
324,5,1,2549.16,0.7513
325,5,2,1721.53,0.8633
326,5,3,2472.86,0.4483
327,5,4,630.03,0.9375
328,5,5,error,error
329,5,6,error,error
330,5,7,1227.79,0.7884
331,5,8,894.74,0.9385
332,5,9,1120.36,0.8804
333,5,10,1585.75,0.8489
334,5,11,1355.81,0.8271
335,5,12,363.27,0.8736
336,5,13,2891.55,0.7482
337,5,14,791.2,0.761
338,5,16,1989.52,0.789
339,5,17,374.94,0.8413
340,5,18,error,error
341,5,19,error,error
342,5,20,368.81,0.6934
343,5,21,304.31,0.7437
344,5,22,540.48,0.7555
345,5,23,943.1,0.8494
346,5,24,686.65,0.5294
347,5,25,801.27,0.7298
348,5,26,530.83,0.6473
349,5,27,124.56,0.6445
350,5,28,50.51,0.6717
351,5,29,222.5,0.7701
352,5,30,163.08,0.8168
353,5,31,309.77,0.5454
354,5,32,821.62,0.6385
355,5,33,453.95,0.7245
356,5,34,575.46,0.8531
357,5,35,344.37,0.6042
358,5,36,303.8,0.5122
359,5,37,error,error
360,5,38,9407.56,0.8433
361,5,40,1020.0,0.9479
362,5,41,error,error
363,5,42,482.18,0.8432
364,5,44,447.82,0.6543
365,5,45,error,error
366,5,46,364.19,0.923
367,5,47,error,error
368,5,48,error,error
369,5,49,error,error
370,5,51,error,error
371,5,52,222.9,0.4949
372,5,54,error,error
373,5,55,763.01,0.7482
374,5,56,error,error
375,5,58,error,error
376,5,59,error,error
377,5,60,91.54,0.6325
378,5,67,1143.76,0.6363
379,5,71,185.15,0.5774
380,5,72,3482.14,0.6491
381,5,74,1172.72,0.6663
382,5,77,error,error
383,5,78,error,error
384,5,79,607.85,0.882
385,5,80,error,error
386,5,81,238.02,0.9234
387,5,82,1217.54,0.6795
388,5,83,error,error
389,5,85,error,error
390,5,87,1479.77,0.8686
391,5,90,364.12,0.8897
392,5,91,30471.25,-17.0759
393,5,92,1789.18,0.7885
394,5,93,error,error
395,5,94,error,error
396,5,95,1558.85,0.9269
397,5,96,1755.39,0.7816
398,5,97,error,error
399,5,98,error,error
400,5,99,error,error
401,5,39,error,error
402,5,50,error,error
403,5,43,error,error
404,5,65,error,error
405,6,1,9136.4,0.5868
406,6,2,7344.72,0.8595
407,6,3,6290.35,0.6695
408,6,4,2005.04,0.9432
409,6,5,error,error
410,6,6,2728.08,0.5017
411,6,7,5127.44,0.8274
412,6,8,2032.19,0.9588
413,6,9,5343.34,0.8997
414,6,10,3238.65,0.9362
415,6,11,2915.41,0.8654
416,6,12,835.49,0.878
417,6,13,1793.32,0.9531
418,6,14,2503.05,0.8974
419,6,16,error,error
420,6,17,1537.33,0.9006
421,6,18,error,error
422,6,19,2029.03,0.3449
423,6,20,1367.47,0.8595
424,6,21,1283.67,0.8374
425,6,22,6722.67,0.6149
426,6,23,3216.87,0.8941
427,6,24,error,error
428,6,25,1744.47,0.8678
429,6,26,1753.26,0.7923
430,6,27,246.69,0.8263
431,6,28,132.07,0.6783
432,6,29,636.45,0.8951
433,6,30,813.98,0.8278
434,6,31,925.68,0.7349
435,6,32,2551.16,0.7448
436,6,33,2125.7,0.6935
437,6,34,2896.71,0.8474
438,6,35,705.62,0.8063
439,6,36,error,error
440,6,37,485.49,0.8745
441,6,38,15045.36,0.791
442,6,40,2646.09,0.9605
443,6,41,31359.08,-10.5945
444,6,42,1520.28,0.8504
445,6,44,1489.61,0.8277
446,6,45,error,error
447,6,46,1602.97,0.9406
448,6,47,error,error
449,6,48,error,error
450,6,49,2413.76,0.8008
451,6,51,error,error
452,6,52,727.91,0.8205
453,6,54,error,error
454,6,55,3148.21,0.6888
455,6,56,4589.82,0.1755
456,6,58,1871.03,0.378
457,6,59,173.58,0.2553
458,6,60,error,error
459,6,67,3476.56,0.6902
460,6,71,1020.73,0.8018
461,6,72,7131.51,0.9012
462,6,74,2058.66,0.9065
463,6,77,error,error
464,6,78,error,error
465,6,79,2190.12,0.9116
466,6,80,1069.35,0.926
467,6,81,1239.92,0.9212
468,6,82,3221.86,0.8356
469,6,83,638.62,0.836
470,6,85,1043.95,0.5255
471,6,87,4940.35,0.8936
472,6,90,3271.46,0.9387
473,6,91,2120.19,0.9532
474,6,92,5182.93,0.9482
475,6,93,3734.52,0.9151
476,6,94,5640.43,0.872
477,6,95,5749.35,0.9393
478,6,96,3116.68,0.9063
479,6,97,1618.66,0.9236
480,6,98,1254.57,0.876
481,6,99,error,error
482,6,39,error,error
483,6,50,error,error
484,6,43,error,error
485,6,65,error,error
486,7,1,2347.56,0.7325
487,7,2,1398.17,0.9404
488,7,3,1187.03,0.8773
489,7,4,2923.75,0.8148
490,7,5,2637.21,0.749
491,7,6,1098.58,0.7723
492,7,7,1816.96,0.8203
493,7,8,2403.64,0.8357
494,7,9,5774.39,0.86
495,7,10,1987.85,0.8961
496,7,11,3951.07,0.7137
497,7,12,1825.12,0.7069
