,Store,Department,RMSE,Actual Average Weekly Sales,Accuracy,LM Used
127,2,51,error,error,error,error
128,2,52,558.52,3500.05,0.8404,lm-1
129,2,54,20.5,27.73,0.2607,lm-3
130,2,55,1104.13,8670.17,0.8727,lm-1
131,2,56,697.77,1749.88,0.6013,lm-1
132,2,58,7265.27,21848.63,0.6675,lm-2
133,2,59,182.07,329.68,0.4477,lm-2
134,2,60,59.74,302.21,0.8023,lm-1
135,2,67,807.53,9797.71,0.9176,lm-3
136,2,71,748.28,4790.27,0.8438,lm-1
137,2,72,14949.41,63141.04,0.7632,lm-1
138,2,74,1774.42,16525.26,0.8926,lm-1
139,2,77,error,error,error,error
140,2,78,5.31,6.0,0.1147,lm-1
141,2,79,3772.15,31807.82,0.8814,lm-2
142,2,80,1161.94,25586.4,0.9546,lm-1
143,2,81,1188.66,30968.65,0.9616,lm-1
144,2,82,2707.91,24846.83,0.891,lm-1
145,2,83,584.8,5785.28,0.8989,lm-1
146,2,85,531.15,2855.93,0.814,lm-2
147,2,87,5444.54,24645.51,0.7791,lm-3
148,2,90,2692.79,99907.55,0.973,lm-2
149,2,91,2705.32,81491.32,0.9668,lm-1
150,2,92,11174.17,170899.53,0.9346,lm-1
151,2,93,6177.98,76953.69,0.9197,lm-1
152,2,94,4235.85,72444.04,0.9415,lm-3
153,2,95,5568.74,150706.1,0.963,lm-1
154,2,96,2654.52,37888.8,0.9299,lm-1
155,2,97,1779.29,41646.12,0.9573,lm-1
156,2,98,1094.54,13135.04,0.9167,lm-1
157,2,99,757.72,64.06,-10.8275,lm-1
158,2,39,error,error,error,error
159,2,50,error,error,error,error
160,2,43,error,error,error,error
161,2,65,error,error,error,error
162,3,1,758.69,8047.97,0.9057,lm-2
163,3,2,1108.6,19270.06,0.9425,lm-1
164,3,3,2990.42,8386.15,0.6434,lm-1
165,3,4,541.07,9319.84,0.9419,lm-1
166,3,5,2193.54,13533.95,0.8379,lm-1
167,3,6,628.4,1690.04,0.6282,lm-1
168,3,7,1985.47,9557.6,0.7923,lm-1
