,Store,Department,Periods Available,Additive Model RSME,Additive Model Accuracy,Multiplicative Model RMSE,Mulitplicative Model Accuracy,Additive vs. Multiplicative
0,1,1,143,9639.1,0.5264,7734.1,0.62,Multiplicative
1,1,2,143,2819.1,0.9392,2198.34,0.9526,Multiplicative
2,1,3,143,6211.87,0.5893,6342.62,0.5807,Additive
3,1,4,143,3171.08,0.9167,3439.23,0.9097,Additive
4,1,5,143,5053.44,0.7492,4085.52,0.7972,Multiplicative
5,1,6,143,1344.44,0.6304,2204.49,0.394,Additive
6,1,7,143,8699.27,0.5906,3936.07,0.8148,Multiplicative
7,1,8,143,3049.58,0.9205,2766.32,0.9278,Multiplicative
8,1,9,143,5053.22,0.8413,4969.23,0.844,Multiplicative
9,1,10,143,4507.61,0.8586,3624.21,0.8863,Multiplicative
10,1,11,143,5250.91,0.7946,6007.51,0.765,Additive
11,1,12,143,1369.65,0.8759,1416.91,0.8716,Additive
12,1,13,143,2256.97,0.9441,3869.31,0.9041,Additive
13,1,14,143,2080.33,0.8489,2022.57,0.8531,Multiplicative
14,1,16,143,10940.9,0.6336,5315.59,0.822,Multiplicative
15,1,17,143,1039.01,0.8703,856.08,0.8931,Multiplicative
16,1,18,113,error,error,error,error,error
17,1,19,143,397.91,0.6457,399.21,0.6445,Additive
18,1,20,143,error,error,error,error,error
19,1,21,143,1283.31,0.8247,1123.33,0.8465,Multiplicative
20,1,22,143,1412.05,0.796,1188.99,0.8283,Multiplicative
21,1,23,143,2943.04,0.8584,3071.02,0.8523,Additive
22,1,24,143,1946.9,0.6851,2159.02,0.6508,Additive
23,1,25,143,1111.68,0.8916,1179.64,0.885,Additive
24,1,26,143,1546.74,0.75,1551.69,0.7492,Additive
25,1,27,143,210.59,0.8187,229.61,0.8023,Additive
26,1,28,143,100.88,0.7649,103.8,0.758,Additive
27,1,29,143,558.18,0.8545,1175.0,0.6938,Additive
28,1,30,143,515.28,0.8298,497.14,0.8358,Multiplicative
29,1,31,143,1181.48,0.4537,1026.66,0.5253,Multiplicative
30,1,32,143,1875.0,0.7145,2356.83,0.6411,Additive
31,1,33,143,1914.54,0.684,2052.74,0.6611,Additive
32,1,34,143,1510.35,0.8784,1705.3,0.8627,Additive
33,1,35,143,564.64,0.7535,552.81,0.7587,Multiplicative
34,1,36,143,778.26,0.5232,4631.82,-1.8379,Additive
35,1,37,143,error,error,error,error,error
36,1,38,143,12198.66,0.8396,10342.61,0.864,Multiplicative
37,1,40,143,4168.22,0.9286,3967.35,0.932,Multiplicative
38,1,41,143,806.59,-0.1056,278.22,0.6187,Multiplicative
39,1,42,143,939.9,0.8823,998.53,0.875,Additive
40,1,44,143,error,error,error,error,error
41,1,45,71,error,error,error,error,error
42,1,46,143,1161.56,0.9396,1417.13,0.9263,Additive
43,1,47,22,error,error,error,error,error
44,1,48,125,error,error,error,error,error
45,1,49,143,2054.94,0.806,2061.16,0.8054,Additive
46,1,51,33,error,error,error,error,error
47,1,52,143,666.62,0.6646,516.46,0.7401,Multiplicative
48,1,54,133,error,error,error,error,error
49,1,55,143,1310.7,0.8611,1317.54,0.8603,Additive
50,1,56,143,988.11,0.7608,1371.07,0.6681,Additive
51,1,58,143,2456.08,0.2423,6949.32,-1.1438,Additive
52,1,59,143,248.74,-0.3996,910.13,-4.1211,Additive
53,1,60,143,163.8,0.8263,154.4,0.8363,Multiplicative
54,1,67,143,2699.89,0.6326,3087.61,0.5798,Additive
55,1,71,143,890.99,0.6328,1300.3,0.4642,Additive
56,1,72,143,8115.67,0.8023,13758.31,0.6648,Additive
57,1,74,143,1555.0,0.8657,1363.02,0.8822,Multiplicative
58,1,77,3,error,error,error,error,error
59,1,78,4,error,error,error,error,error
60,1,79,143,error,error,error,error,error
61,1,80,143,2253.92,0.8851,6573.77,0.665,Additive
62,1,81,143,1319.1,0.958,1450.27,0.9538,Additive
63,1,82,143,9016.6,0.5512,1483.63,0.9262,Multiplicative
64,1,83,143,1372.51,0.7691,1263.63,0.7874,Multiplicative
65,1,85,143,1904.12,0.4119,780.2,0.759,Multiplicative
66,1,87,143,19739.95,0.6186,28436.6,0.4506,Additive
67,1,90,143,4063.18,0.9536,4668.1,0.9467,Additive
68,1,91,143,4438.26,0.9337,3488.94,0.9479,Multiplicative
69,1,92,143,error,error,error,error,error
70,1,93,143,error,error,error,error,error
71,1,94,143,6475.33,0.8996,6937.1,0.8924,Additive
72,1,95,143,5964.11,0.9538,6321.19,0.951,Additive
73,1,96,122,2091.97,0.9406,4758.14,0.8648,Additive
74,1,97,143,9122.24,0.7529,12466.35,0.6624,Additive
75,1,98,143,1173.69,0.9019,1326.39,0.8892,Additive
76,1,99,37,error,error,error,error,error
77,1,39,0,error,error,error,error,error
78,1,50,0,error,error,error,error,error
79,1,43,0,error,error,error,error,error
80,1,65,0,error,error,error,error,error
81,2,1,143,14148.96,0.5085,12557.62,0.5637,Multiplicative
82,2,2,143,error,error,error,error,error
83,2,3,143,6976.75,0.6416,6865.43,0.6473,Multiplicative
84,2,4,143,4982.91,0.8912,2453.39,0.9464,Multiplicative
85,2,5,143,21204.43,0.0829,9886.04,0.5724,Multiplicative
86,2,6,143,error,error,error,error,error
87,2,7,143,6394.89,0.822,6071.18,0.831,Multiplicative
88,2,8,143,4798.96,0.9205,4772.42,0.9209,Multiplicative
89,2,9,143,5054.34,0.863,4418.14,0.8802,Multiplicative
90,2,10,143,3759.64,0.9037,3801.32,0.9026,Additive
91,2,11,143,4445.27,0.8054,4330.35,0.8104,Multiplicative
92,2,12,143,737.11,0.9104,634.43,0.9229,Multiplicative
93,2,13,143,2449.52,0.9472,2461.99,0.9469,Additive
94,2,14,143,2568.46,0.8666,2555.92,0.8673,Multiplicative
95,2,16,143,7022.48,0.7883,5960.23,0.8203,Multiplicative
96,2,17,143,1486.8,0.8878,1412.77,0.8934,Multiplicative
97,2,18,113,error,error,error,error,error
98,2,19,143,2415.29,0.3167,2555.76,0.277,Additive
99,2,20,143,1530.61,0.7332,792.21,0.8619,Multiplicative
100,2,21,143,1112.45,0.8668,971.69,0.8837,Multiplicative
101,2,22,143,1820.56,0.8412,3899.39,0.6598,Additive
102,2,23,143,3635.28,0.8703,3499.98,0.8751,Multiplicative
103,2,24,143,2898.07,0.6173,3324.36,0.5611,Additive
104,2,25,143,7472.15,0.4829,1971.75,0.8635,Multiplicative
105,2,26,143,1820.0,0.7741,1713.01,0.7874,Multiplicative
106,2,27,143,246.05,0.8245,257.42,0.8164,Additive
107,2,28,143,583.87,-0.097,83.45,0.8432,Multiplicative
108,2,29,143,649.0,0.8936,621.58,0.8981,Multiplicative
109,2,30,143,686.42,0.8461,523.98,0.8825,Multiplicative
110,2,31,143,error,error,error,error,error
111,2,32,143,2721.26,0.7291,2869.82,0.7143,Additive
112,2,33,143,2077.86,0.6862,2030.85,0.6933,Multiplicative
113,2,34,143,2734.64,0.8484,2583.91,0.8568,Multiplicative
114,2,35,143,953.62,0.7434,879.35,0.7633,Multiplicative
115,2,36,143,error,error,error,error,error
116,2,37,143,570.9,0.8721,513.83,0.8849,Multiplicative
117,2,38,143,11057.96,0.8497,9388.93,0.8724,Multiplicative
118,2,40,143,3881.31,0.9503,4598.63,0.9411,Additive
119,2,41,143,2071.53,0.1924,1306.57,0.4906,Multiplicative
120,2,42,143,991.11,0.8903,812.18,0.9101,Multiplicative
121,2,44,143,1386.91,0.8073,1434.9,0.8006,Additive
122,2,45,66,error,error,error,error,error
123,2,46,143,1658.75,0.9434,1730.12,0.9409,Additive
124,2,47,22,error,error,error,error,error
125,2,48,139,error,error,error,error,error
126,2,49,143,4369.92,0.7173,3578.21,0.7685,Multiplicative
127,2,51,12,error,error,error,error,error
128,2,52,143,1066.68,0.7067,1130.48,0.6892,Additive
129,2,54,136,error,error,error,error,error
130,2,55,143,4660.68,0.4628,1599.03,0.8157,Multiplicative
131,2,56,143,2065.68,0.6319,2765.27,0.5072,Additive
132,2,58,143,10032.99,0.5031,14246.54,0.2944,Additive
133,2,59,143,749.43,-1.19,294.27,0.1401,Multiplicative
134,2,60,111,error,error,error,error,error
135,2,67,143,4100.55,0.6511,4222.54,0.6407,Additive
136,2,71,143,1171.0,0.7407,1098.51,0.7568,Multiplicative
137,2,72,143,21409.72,0.6504,12070.86,0.8029,Multiplicative
138,2,74,143,1337.08,0.9171,1400.64,0.9132,Additive
139,2,77,2,error,error,error,error,error
140,2,78,10,error,error,error,error,error
141,2,79,143,3803.69,0.8804,3689.06,0.884,Multiplicative
142,2,80,143,1581.31,0.9392,1537.84,0.9408,Multiplicative
143,2,81,143,1256.59,0.9604,1922.83,0.9394,Additive
144,2,82,143,error,error,error,error,error
145,2,83,143,1217.26,0.7936,666.07,0.887,Multiplicative
146,2,85,143,664.44,0.7788,622.02,0.7929,Multiplicative
147,2,87,143,5331.33,0.7802,5842.01,0.7591,Additive
148,2,90,143,5077.51,0.9488,4152.03,0.9582,Multiplicative
149,2,91,143,2780.37,0.9658,2470.18,0.9696,Multiplicative
150,2,92,143,7952.57,0.9529,8431.22,0.9501,Additive
151,2,93,143,5117.92,0.9334,6477.71,0.9156,Additive
152,2,94,143,6665.36,0.9095,5702.61,0.9226,Multiplicative
153,2,95,143,5839.84,0.9613,5549.76,0.9632,Multiplicative
154,2,96,143,error,error,error,error,error
155,2,97,143,error,error,error,error,error
156,2,98,143,1417.63,0.8932,1377.35,0.8962,Multiplicative
157,2,99,42,error,error,error,error,error
158,2,39,4,error,error,error,error,error
159,2,50,0,error,error,error,error,error
160,2,43,0,error,error,error,error,error
161,2,65,0,error,error,error,error,error
162,3,1,143,2721.39,0.6701,2988.93,0.6377,Additive
163,3,2,143,1057.16,0.9451,1079.97,0.944,Additive
164,3,3,143,2648.47,0.6242,2352.47,0.6662,Multiplicative
165,3,4,143,771.34,0.917,869.86,0.9064,Additive
166,3,5,143,1906.5,0.8554,4993.0,0.6213,Additive
167,3,6,143,953.33,0.4623,22454.71,-11.6642,Additive
168,3,7,143,error,error,error,error,error
169,3,8,143,537.79,0.9389,596.85,0.9322,Additive
170,3,9,143,1965.67,0.8279,2332.12,0.7958,Additive
171,3,10,143,1383.6,0.8964,8421.86,0.3692,Additive
172,3,11,143,4373.01,0.6428,3104.55,0.7464,Multiplicative
173,3,12,143,479.19,0.825,452.17,0.8349,Multiplicative
174,3,13,143,970.58,0.9213,843.59,0.9316,Multiplicative
175,3,14,143,810.42,0.831,792.41,0.8347,Multiplicative
176,3,16,143,6322.01,0.3483,5270.69,0.4567,Multiplicative
177,3,17,143,473.6,0.8114,470.48,0.8126,Multiplicative
178,3,18,115,4065.71,0.0325,7927.96,-0.8866,Additive
179,3,19,143,620.23,-0.0409,476.98,0.1995,Multiplicative
180,3,20,143,1357.84,0.3517,977.06,0.5335,Multiplicative
181,3,21,143,290.71,0.7919,312.5,0.7763,Additive
182,3,22,143,512.44,0.8594,617.69,0.8305,Additive
183,3,23,143,1759.25,0.8726,1714.36,0.8759,Multiplicative
184,3,24,143,1015.46,0.6535,1475.21,0.4966,Additive
185,3,25,143,612.44,0.8765,769.1,0.8449,Additive
186,3,26,143,825.63,0.6714,1183.76,0.5289,Additive
187,3,27,143,285.6,0.3751,662.76,-0.4502,Additive
188,3,28,143,41.71,0.6489,42.15,0.6452,Additive
189,3,29,143,367.5,0.7219,346.95,0.7374,Multiplicative
190,3,30,143,434.62,0.7011,806.07,0.4457,Additive
191,3,31,143,323.39,0.6569,351.2,0.6274,Additive
192,3,32,143,error,error,error,error,error
193,3,33,143,939.44,0.7381,1044.95,0.7087,Additive
194,3,34,143,829.39,0.8253,736.42,0.8449,Multiplicative
195,3,35,143,error,error,error,error,error
196,3,36,143,266.49,0.4366,288.79,0.3895,Additive
197,3,37,0,error,error,error,error,error
198,3,38,143,14685.61,0.8363,14681.06,0.8364,Multiplicative
199,3,40,143,989.93,0.949,1248.04,0.9357,Additive
200,3,41,143,610.61,-0.5131,305.86,0.2421,Multiplicative
201,3,42,143,1907.39,0.6269,1482.06,0.7101,Multiplicative
202,3,44,143,511.87,0.7921,600.49,0.7561,Additive
203,3,45,12,error,error,error,error,error
204,3,46,143,584.23,0.9059,1472.79,0.7628,Additive
205,3,47,8,error,error,error,error,error
206,3,48,0,error,error,error,error,error
207,3,49,54,error,error,error,error,error
208,3,51,61,error,error,error,error,error
209,3,52,143,250.33,0.7558,266.08,0.7404,Additive
210,3,54,113,error,error,error,error,error
211,3,55,143,1615.16,0.7764,8699.51,-0.2042,Additive
212,3,56,143,753.81,0.5432,802.89,0.5135,Additive
213,3,58,0,error,error,error,error,error
214,3,59,123,error,error,error,error,error
215,3,60,143,53.66,0.6181,50.22,0.6426,Multiplicative
216,3,67,143,753.28,0.6166,791.54,0.5971,Additive
217,3,71,143,520.2,0.6324,626.99,0.5569,Additive
218,3,72,143,3416.11,0.8688,47487.34,-0.8242,Additive
219,3,74,143,573.42,0.8458,590.98,0.8411,Additive
220,3,77,3,error,error,error,error,error
221,3,78,1,error,error,error,error,error
222,3,79,143,error,error,error,error,error
223,3,80,21,error,error,error,error,error
224,3,81,143,397.45,0.7881,288.56,0.8462,Multiplicative
225,3,82,143,720.55,0.9079,2612.24,0.6661,Additive
226,3,83,1,error,error,error,error,error
227,3,85,143,463.36,0.36,350.39,0.516,Multiplicative
228,3,87,143,983.68,0.2448,3599.27,-1.7633,Additive
229,3,90,143,313.93,0.8223,169.1,0.9043,Multiplicative
230,3,91,143,242.44,0.5089,255.15,0.4832,Additive
231,3,92,143,483.61,0.9467,940.44,0.8964,Additive
232,3,93,0,error,error,error,error,error
233,3,94,54,error,error,error,error,error
234,3,95,143,2413.64,0.8792,2206.1,0.8896,Multiplicative
235,3,96,143,error,error,error,error,error
236,3,97,140,104.77,0.7987,240.09,0.5388,Additive
237,3,98,36,error,error,error,error,error
238,3,99,0,error,error,error,error,error
239,3,39,0,error,error,error,error,error
240,3,50,0,error,error,error,error,error
241,3,43,0,error,error,error,error,error
242,3,65,0,error,error,error,error,error
243,4,1,143,14467.44,0.5886,15043.13,0.5723,Additive
244,4,2,143,8645.66,0.9129,6111.1,0.9384,Multiplicative
245,4,3,143,5598.2,0.7549,4252.62,0.8138,Multiplicative
246,4,4,143,2645.04,0.9552,2947.97,0.9501,Additive
247,4,5,143,6209.07,0.831,8590.02,0.7662,Additive
248,4,6,143,error,error,error,error,error
249,4,7,143,8944.69,0.8187,7632.69,0.8453,Multiplicative
250,4,8,143,error,error,error,error,error
251,4,9,143,6404.38,0.8453,5322.95,0.8714,Multiplicative
252,4,10,143,6026.13,0.8522,5062.78,0.8758,Multiplicative
253,4,11,143,5606.07,0.7922,5852.06,0.7831,Additive
254,4,12,143,1018.03,0.8783,983.35,0.8824,Multiplicative
255,4,13,143,3692.82,0.9496,3732.86,0.9491,Additive
256,4,14,143,2254.3,0.9182,2303.57,0.9164,Additive
257,4,16,143,5244.77,0.8089,5423.38,0.8024,Additive
258,4,17,143,2505.97,0.8316,2451.39,0.8353,Multiplicative
259,4,18,124,error,error,error,error,error
260,4,19,143,1994.22,0.1406,2169.94,0.0649,Additive
261,4,20,143,1011.49,0.8952,950.32,0.9016,Multiplicative
262,4,21,143,855.54,0.8915,1212.68,0.8462,Additive
263,4,22,143,2744.44,0.8448,1987.14,0.8876,Multiplicative
264,4,23,143,6829.97,0.8564,5757.68,0.8789,Multiplicative
265,4,24,143,1998.7,0.8197,2335.35,0.7893,Additive
266,4,25,143,2158.63,0.8666,2534.87,0.8434,Additive
267,4,26,143,3239.14,0.8233,3507.52,0.8087,Additive
268,4,27,143,1336.96,0.3982,2579.08,-0.1608,Additive
269,4,28,143,117.78,0.8326,117.64,0.8328,Multiplicative
270,4,29,143,1763.06,0.8155,1097.33,0.8852,Multiplicative
271,4,30,143,1474.48,0.7979,1083.81,0.8514,Multiplicative
272,4,31,143,620.15,0.8443,1061.43,0.7335,Additive
273,4,32,143,3612.57,0.7096,3768.04,0.6971,Additive
274,4,33,143,1866.64,0.8534,1979.42,0.8446,Additive
275,4,34,143,3467.28,0.8769,3439.72,0.8779,Multiplicative
276,4,35,143,933.22,0.7902,775.74,0.8256,Multiplicative
277,4,36,143,1767.86,0.5936,1287.47,0.704,Multiplicative
278,4,37,143,1194.72,0.6576,1015.82,0.7089,Multiplicative
279,4,38,143,error,error,error,error,error
280,4,40,143,error,error,error,error,error
281,4,41,143,746.9,0.457,2576.39,-0.8729,Additive
282,4,42,143,1681.65,0.8362,2680.98,0.7389,Additive
283,4,44,143,4193.21,0.1969,774.05,0.8518,Multiplicative
284,4,45,49,error,error,error,error,error
285,4,46,143,3766.73,0.9068,3182.85,0.9212,Multiplicative
286,4,47,13,error,error,error,error,error
287,4,48,141,error,error,error,error,error
288,4,49,143,1471.08,0.7838,1411.84,0.7925,Multiplicative
289,4,51,23,error,error,error,error,error
290,4,52,143,1371.69,0.5658,1367.61,0.5671,Multiplicative
291,4,54,140,72.89,-0.8558,142.79,-2.6354,Additive
292,4,55,143,1466.73,0.8937,1546.62,0.8879,Additive
293,4,56,143,2856.96,0.6286,4151.4,0.4603,Additive
294,4,58,143,3191.16,0.0874,2850.59,0.1848,Multiplicative
295,4,59,143,1421.75,-2.1767,19888.22,-43.4381,Additive
296,4,60,143,113.55,0.6858,113.63,0.6856,Additive
297,4,67,143,3100.19,0.756,3325.02,0.7383,Additive
298,4,71,143,1349.43,0.8244,1415.36,0.8158,Additive
299,4,72,143,13192.47,0.8553,20952.92,0.7702,Additive
300,4,74,143,3139.67,0.8443,3643.63,0.8193,Additive
301,4,77,7,error,error,error,error,error
302,4,78,8,error,error,error,error,error
303,4,79,143,3356.2,0.939,3496.61,0.9365,Additive
304,4,80,143,3319.05,0.8399,3848.84,0.8144,Additive
305,4,81,143,3743.12,0.8873,3707.14,0.8884,Multiplicative
306,4,82,143,8897.96,0.7222,4284.6,0.8662,Multiplicative
307,4,83,143,1131.33,0.8858,1243.65,0.8744,Additive
308,4,85,143,881.32,0.6556,609.03,0.762,Multiplicative
309,4,87,143,error,error,error,error,error
310,4,90,143,4043.12,0.9564,5759.15,0.9379,Additive
311,4,91,143,5318.07,0.9226,5422.98,0.921,Additive
312,4,92,143,6706.38,0.9602,7384.08,0.9562,Additive
313,4,93,143,7637.15,0.898,14271.45,0.8094,Additive
314,4,94,143,5213.91,0.9316,5763.87,0.9243,Additive
315,4,95,143,8529.81,0.9479,12994.2,0.9206,Additive
316,4,96,143,4463.07,0.9001,5115.7,0.8855,Additive
317,4,97,143,2612.5,0.9373,4328.14,0.8961,Additive
318,4,98,143,1672.93,0.888,1177.19,0.9212,Multiplicative
319,4,99,42,error,error,error,error,error
320,4,39,1,error,error,error,error,error
321,4,50,0,error,error,error,error,error
322,4,43,0,error,error,error,error,error
323,4,65,0,error,error,error,error,error
324,5,1,143,2482.96,0.7577,2549.16,0.7513,Additive
325,5,2,143,1408.15,0.8882,1721.53,0.8633,Additive
326,5,3,143,2443.1,0.4549,2472.86,0.4483,Additive
327,5,4,143,639.52,0.9365,630.03,0.9375,Multiplicative
328,5,5,143,error,error,error,error,error
329,5,6,143,error,error,error,error,error
330,5,7,143,1145.07,0.8027,1227.79,0.7884,Additive
331,5,8,143,835.78,0.9426,894.74,0.9385,Additive
332,5,9,143,1239.18,0.8677,1120.36,0.8804,Multiplicative
333,5,10,143,1084.37,0.8967,1585.75,0.8489,Additive
334,5,11,143,1481.75,0.8111,1355.81,0.8271,Multiplicative
335,5,12,143,369.58,0.8714,363.27,0.8736,Multiplicative
336,5,13,143,3077.27,0.732,2891.55,0.7482,Multiplicative
337,5,14,143,906.57,0.7262,791.2,0.761,Multiplicative
338,5,16,143,1980.12,0.79,1989.52,0.789,Additive
339,5,17,143,375.61,0.8411,374.94,0.8413,Multiplicative
340,5,18,100,error,error,error,error,error
341,5,19,57,error,error,error,error,error
342,5,20,143,404.01,0.6641,368.81,0.6934,Multiplicative
343,5,21,143,263.55,0.778,304.31,0.7437,Additive
344,5,22,143,496.3,0.7755,540.48,0.7555,Additive
345,5,23,143,991.01,0.8418,943.1,0.8494,Multiplicative
346,5,24,143,600.51,0.5885,686.65,0.5294,Additive
347,5,25,143,936.75,0.6842,801.27,0.7298,Multiplicative
348,5,26,143,541.82,0.64,530.83,0.6473,Multiplicative
349,5,27,143,90.63,0.7413,124.56,0.6445,Additive
350,5,28,143,51.71,0.6639,50.51,0.6717,Multiplicative
351,5,29,143,163.98,0.8306,222.5,0.7701,Additive
352,5,30,143,207.34,0.7671,163.08,0.8168,Multiplicative
353,5,31,143,283.74,0.5836,309.77,0.5454,Additive
354,5,32,143,828.72,0.6354,821.62,0.6385,Multiplicative
355,5,33,143,456.65,0.7229,453.95,0.7245,Multiplicative
356,5,34,143,598.45,0.8472,575.46,0.8531,Multiplicative
357,5,35,143,519.44,0.403,344.37,0.6042,Multiplicative
358,5,36,143,267.64,0.5702,303.8,0.5122,Additive
359,5,37,0,error,error,error,error,error
360,5,38,143,8823.5,0.853,9407.56,0.8433,Additive
361,5,40,143,930.86,0.9525,1020.0,0.9479,Additive
362,5,41,143,error,error,error,error,error
363,5,42,143,501.1,0.837,482.18,0.8432,Multiplicative
364,5,44,143,406.83,0.686,447.82,0.6543,Additive
365,5,45,69,error,error,error,error,error
366,5,46,143,370.1,0.9217,364.19,0.923,Multiplicative
367,5,47,11,error,error,error,error,error
368,5,48,0,error,error,error,error,error
369,5,49,56,error,error,error,error,error
370,5,51,5,error,error,error,error,error
371,5,52,143,366.83,0.1687,222.9,0.4949,Multiplicative
372,5,54,98,error,error,error,error,error
373,5,55,143,1142.57,0.6229,763.01,0.7482,Multiplicative
374,5,56,143,error,error,error,error,error
375,5,58,119,1068.95,0.1161,1317.84,-0.0898,Additive
376,5,59,103,error,error,error,error,error
377,5,60,143,87.07,0.6504,91.54,0.6325,Additive
378,5,67,143,1113.77,0.6458,1143.76,0.6363,Additive
379,5,71,143,225.6,0.485,185.15,0.5774,Multiplicative
380,5,72,143,2464.35,0.7517,3482.14,0.6491,Additive
381,5,74,143,673.33,0.8084,1172.72,0.6663,Additive
382,5,77,2,error,error,error,error,error
383,5,78,1,error,error,error,error,error
384,5,79,143,706.9,0.8627,607.85,0.882,Multiplicative
385,5,80,3,error,error,error,error,error
386,5,81,143,673.63,0.7832,238.02,0.9234,Multiplicative
387,5,82,143,566.24,0.8509,1217.54,0.6795,Additive
388,5,83,0,error,error,error,error,error
389,5,85,143,error,error,error,error,error
390,5,87,143,1799.67,0.8402,1479.77,0.8686,Multiplicative
391,5,90,143,878.38,0.7339,364.12,0.8897,Multiplicative
392,5,91,143,1331.38,0.2102,30471.25,-17.0759,Additive
393,5,92,143,695.47,0.9178,1789.18,0.7885,Additive
394,5,93,0,error,error,error,error,error
395,5,94,74,error,error,error,error,error
396,5,95,143,2614.97,0.8774,1558.85,0.9269,Multiplicative
397,5,96,143,2310.27,0.7125,1755.39,0.7816,Multiplicative
398,5,97,127,106.1,0.837,102.43,0.8426,Multiplicative
399,5,98,23,error,error,error,error,error
400,5,99,0,error,error,error,error,error
401,5,39,0,error,error,error,error,error
402,5,50,0,error,error,error,error,error
403,5,43,0,error,error,error,error,error
404,5,65,0,error,error,error,error,error
405,6,1,143,12377.44,0.4403,9136.4,0.5868,Multiplicative
406,6,2,143,3276.87,0.9373,7344.72,0.8595,Additive
407,6,3,143,6229.26,0.6727,6290.35,0.6695,Additive
408,6,4,143,1989.46,0.9436,2005.04,0.9432,Additive
409,6,5,143,error,error,error,error,error
410,6,6,143,2377.21,0.5658,2728.08,0.5017,Additive
411,6,7,143,5384.49,0.8188,5127.44,0.8274,Multiplicative
412,6,8,143,2385.39,0.9517,2032.19,0.9588,Multiplicative
413,6,9,143,5754.39,0.8919,5343.34,0.8997,Multiplicative
414,6,10,143,3368.46,0.9336,3238.65,0.9362,Multiplicative
415,6,11,143,3154.3,0.8544,2915.41,0.8654,Multiplicative
416,6,12,143,826.77,0.8792,835.49,0.878,Additive
417,6,13,143,2136.65,0.9441,1793.32,0.9531,Multiplicative
418,6,14,143,3578.51,0.8533,2503.05,0.8974,Multiplicative
419,6,16,143,error,error,error,error,error
420,6,17,143,1533.7,0.9008,1537.33,0.9006,Additive
421,6,18,113,error,error,error,error,error
422,6,19,143,1623.67,0.4758,2029.03,0.3449,Additive
423,6,20,143,861.16,0.9115,1367.47,0.8595,Additive
424,6,21,143,1985.27,0.7485,1283.67,0.8374,Multiplicative
425,6,22,143,6306.4,0.6387,6722.67,0.6149,Additive
426,6,23,143,4306.94,0.8582,3216.87,0.8941,Multiplicative
427,6,24,143,error,error,error,error,error
428,6,25,143,3290.03,0.7507,1744.47,0.8678,Multiplicative
429,6,26,143,1795.5,0.7873,1753.26,0.7923,Multiplicative
430,6,27,143,362.07,0.7451,246.69,0.8263,Multiplicative
431,6,28,143,411.41,-0.0022,132.07,0.6783,Multiplicative
432,6,29,143,665.63,0.8903,636.45,0.8951,Multiplicative
433,6,30,143,1018.43,0.7845,813.98,0.8278,Multiplicative
434,6,31,143,861.43,0.7533,925.68,0.7349,Additive
435,6,32,143,2616.61,0.7383,2551.16,0.7448,Multiplicative
436,6,33,143,1646.92,0.7625,2125.7,0.6935,Additive
437,6,34,143,2224.48,0.8828,2896.71,0.8474,Additive
438,6,35,143,756.02,0.7924,705.62,0.8063,Multiplicative
439,6,36,143,error,error,error,error,error
440,6,37,143,430.28,0.8887,485.49,0.8745,Additive
441,6,38,143,21637.94,0.6994,15045.36,0.791,Multiplicative
442,6,40,143,2826.47,0.9578,2646.09,0.9605,Multiplicative
443,6,41,143,4112.41,-0.5205,31359.08,-10.5945,Additive
444,6,42,143,2040.89,0.7991,1520.28,0.8504,Multiplicative
445,6,44,143,3403.49,0.6063,1489.61,0.8277,Multiplicative
446,6,45,67,error,error,error,error,error
447,6,46,143,1727.73,0.936,1602.97,0.9406,Multiplicative
448,6,47,18,error,error,error,error,error
449,6,48,141,1124.97,0.546,10483.34,-3.231,Additive
450,6,49,143,2873.75,0.7629,2413.76,0.8008,Multiplicative
451,6,51,8,error,error,error,error,error
452,6,52,143,3758.46,0.0732,727.91,0.8205,Multiplicative
453,6,54,141,error,error,error,error,error
454,6,55,143,7485.28,0.2602,3148.21,0.6888,Multiplicative
455,6,56,143,5094.46,0.0849,4589.82,0.1755,Multiplicative
456,6,58,143,1819.52,0.3951,1871.03,0.378,Additive
457,6,59,143,201.6,0.135,173.58,0.2553,Multiplicative
458,6,60,91,error,error,error,error,error
459,6,67,143,3220.49,0.713,3476.56,0.6902,Additive
460,6,71,143,2224.62,0.568,1020.73,0.8018,Multiplicative
461,6,72,143,6706.08,0.9071,7131.51,0.9012,Additive
462,6,74,143,2461.09,0.8883,2058.66,0.9065,Multiplicative
463,6,77,2,error,error,error,error,error
464,6,78,9,error,error,error,error,error
465,6,79,143,2173.22,0.9123,2190.12,0.9116,Additive
466,6,80,143,1003.09,0.9306,1069.35,0.926,Additive
467,6,81,143,1440.07,0.9085,1239.92,0.9212,Multiplicative
468,6,82,143,1901.67,0.903,3221.86,0.8356,Additive
469,6,83,143,632.71,0.8375,638.62,0.836,Additive
470,6,85,143,2029.13,0.0777,1043.95,0.5255,Multiplicative
471,6,87,143,9661.47,0.792,4940.35,0.8936,Multiplicative
472,6,90,143,3944.3,0.9261,3271.46,0.9387,Multiplicative
473,6,91,143,2406.62,0.9469,2120.19,0.9532,Multiplicative
474,6,92,143,5483.86,0.9452,5182.93,0.9482,Multiplicative
475,6,93,143,4157.54,0.9055,3734.52,0.9151,Multiplicative
476,6,94,143,5334.27,0.879,5640.43,0.872,Additive
477,6,95,143,12655.8,0.8663,5749.35,0.9393,Multiplicative
478,6,96,143,2574.33,0.9226,3116.68,0.9063,Additive
479,6,97,143,1534.51,0.9276,1618.66,0.9236,Additive
